Year	Month1	Month2	Month3	Month4	Month5	Month6	Month7	Month8	Month9	Month10	Month11	Month12	bptdiff2	energyDemandTwh
0.2	0	0	0	0	0	0	0	0	0	0	1	0	0.122843933	0.133221
0.2	0	0	0	0	0	0	0	0	0	0	0	1	0.245336193	0.147344
0.24	1	0	0	0	0	0	0	0	0	0	0	0	0.617351329	0.141721
0.24	0	1	0	0	0	0	0	0	0	0	0	0	0.455017878	0.135403
0.24	0	0	1	0	0	0	0	0	0	0	0	0	0.164662999	0.144714
0.24	0	0	0	1	0	0	0	0	0	0	0	0	0.010841275	0.132775
0.24	0	0	0	0	1	0	0	0	0	0	0	0	0.029986097	0.138757
0.24	0	0	0	0	0	1	0	0	0	0	0	0	0.263462121	0.143361
0.24	0	0	0	0	0	0	1	0	0	0	0	0	0.420584469	0.154528
0.24	0	0	0	0	0	0	0	1	0	0	0	0	0.648231965	0.162672
0.24	0	0	0	0	0	0	0	0	1	0	0	0	0.158246593	0.143951
0.24	0	0	0	0	0	0	0	0	0	1	0	0	0.013919299	0.137353
0.24	0	0	0	0	0	0	0	0	0	0	1	0	0.123481057	0.150679
0.24	0	0	0	0	0	0	0	0	0	0	0	1	0.353001333	0.160459
0.28	1	0	0	0	0	0	0	0	0	0	0	0	0.339244134	0.156856789
0.28	0	1	0	0	0	0	0	0	0	0	0	0	0.314794547	0.145479543
0.28	0	0	1	0	0	0	0	0	0	0	0	0	0.139446682	0.156226485
0.28	0	0	0	1	0	0	0	0	0	0	0	0	0.048876906	0.147858271
0.28	0	0	0	0	1	0	0	0	0	0	0	0	0.104385761	0.151125331
0.28	0	0	0	0	0	1	0	0	0	0	0	0	0.39513971	0.155604178
0.28	0	0	0	0	0	0	1	0	0	0	0	0	0.62445924	0.174915621
0.28	0	0	0	0	0	0	0	1	0	0	0	0	0.622566201	0.17579501
0.28	0	0	0	0	0	0	0	0	1	0	0	0	0.222353948	0.156362867
0.28	0	0	0	0	0	0	0	0	0	1	0	0	0.0365673	0.150711558
0.28	0	0	0	0	0	0	0	0	0	0	1	0	0.104382626	0.161034125
0.28	0	0	0	0	0	0	0	0	0	0	0	1	0.357998719	0.168032358
0.32	1	0	0	0	0	0	0	0	0	0	0	0	0.658768317	0.179483
0.32	0	1	0	0	0	0	0	0	0	0	0	0	0.453182612	0.165041
0.32	0	0	1	0	0	0	0	0	0	0	0	0	0.053715696	0.162445
0.32	0	0	0	1	0	0	0	0	0	0	0	0	2.86127E-05	0.156523
0.32	0	0	0	0	1	0	0	0	0	0	0	0	0.031129758	0.16284
0.32	0	0	0	0	0	1	0	0	0	0	0	0	0.325142379	0.165271
0.32	0	0	0	0	0	0	1	0	0	0	0	0	0.513872642	0.183085
0.32	0	0	0	0	0	0	0	1	0	0	0	0	0.627485208	0.183918
0.32	0	0	0	0	0	0	0	0	1	0	0	0	0.192730772	0.160451
0.32	0	0	0	0	0	0	0	0	0	1	0	0	0.0142556	0.14917
0.32	0	0	0	0	0	0	0	0	0	0	1	0	0.027935905	0.1544604
0.32	0	0	0	0	0	0	0	0	0	0	0	1	0.253877995	0.1581644
0.36	1	0	0	0	0	0	0	0	0	0	0	0	0.350581995	0.16851416
0.36	0	1	0	0	0	0	0	0	0	0	0	0	0.299261808	0.15010029
0.36	0	0	1	0	0	0	0	0	0	0	0	0	0.208416025	0.15983711
0.36	0	0	0	1	0	0	0	0	0	0	0	0	0.031983789	0.14849103
0.36	0	0	0	0	1	0	0	0	0	0	0	0	0.042555068	0.15297715
0.36	0	0	0	0	0	1	0	0	0	0	0	0	0.314055296	0.15899616
0.36	0	0	0	0	0	0	1	0	0	0	0	0	0.526508459	0.17743508
0.36	0	0	0	0	0	0	0	1	0	0	0	0	0.450788079	0.17704556
0.36	0	0	0	0	0	0	0	0	1	0	0	0	0.151005937	0.15379301
0.36	0	0	0	0	0	0	0	0	0	1	0	0	0.049087851	0.15989904
0.36	0	0	0	0	0	0	0	0	0	0	1	0	0.051413134	0.15779291
0.36	0	0	0	0	0	0	0	0	0	0	0	1	0.136595839	0.1759091
0.4	1	0	0	0	0	0	0	0	0	0	0	0	0.324939247	0.17421708
0.4	0	1	0	0	0	0	0	0	0	0	0	0	0.193080663	0.15745016
0.4	0	0	1	0	0	0	0	0	0	0	0	0	0.134476574	0.17078834
0.4	0	0	0	1	0	0	0	0	0	0	0	0	0.007489324	0.16313736
0.4	0	0	0	0	1	0	0	0	0	0	0	0	0.068923617	0.16711662
0.4	0	0	0	0	0	1	0	0	0	0	0	0	0.275188151	0.17143073
0.4	0	0	0	0	0	0	1	0	0	0	0	0	0.553969021	0.19427951
0.4	0	0	0	0	0	0	0	1	0	0	0	0	0.781976685	0.20453132
0.4	0	0	0	0	0	0	0	0	1	0	0	0	0.281175476	0.17094002
0.4	0	0	0	0	0	0	0	0	0	1	0	0	0.002424059	0.17318095
0.4	0	0	0	0	0	0	0	0	0	0	1	0	0.000388405	0.16494856
0.4	0	0	0	0	0	0	0	0	0	0	0	1	0.127360754	0.19231895
0.44	1	0	0	0	0	0	0	0	0	0	0	0	0.376384435	0.19724373
0.44	0	1	0	0	0	0	0	0	0	0	0	0	0.358000884	0.17790305
0.44	0	0	1	0	0	0	0	0	0	0	0	0	0.213291945	0.19278117
0.44	0	0	0	1	0	0	0	0	0	0	0	0	0.075825892	0.17923318
0.44	0	0	0	0	1	0	0	0	0	0	0	0	0.012946808	0.17686346
0.44	0	0	0	0	0	1	0	0	0	0	0	0	0.219232036	0.18002761
0.44	0	0	0	0	0	0	1	0	0	0	0	0	0.584352792	0.21070042
0.44	0	0	0	0	0	0	0	1	0	0	0	0	0.468746876	0.20673509
0.44	0	0	0	0	0	0	0	0	1	0	0	0	0.279057489	0.18986104
0.44	0	0	0	0	0	0	0	0	0	1	0	0	0.000104168	0.18934786
0.44	0	0	0	0	0	0	0	0	0	0	1	0	0.202777481	0.19146615
0.44	0	0	0	0	0	0	0	0	0	0	0	1	0.252057441	0.21090026
0.48	1	0	0	0	0	0	0	0	0	0	0	0	0.571369752	0.21406128
0.48	0	1	0	0	0	0	0	0	0	0	0	0	0.624494554	0.19994766
0.48	0	0	1	0	0	0	0	0	0	0	0	0	0.284849217	0.20757882
0.48	0	0	0	1	0	0	0	0	0	0	0	0	0.000135647	0.18254835
0.48	0	0	0	0	1	0	0	0	0	0	0	0	0.041994501	0.18953659
0.48	0	0	0	0	0	1	0	0	0	0	0	0	0.411889932	0.20100591
0.48	0	0	0	0	0	0	1	0	0	0	0	0	0.694380223	0.22879951
0.48	0	0	0	0	0	0	0	1	0	0	0	0	0.569062404	0.21539313
0.48	0	0	0	0	0	0	0	0	1	0	0	0	0.281853811	0.19863007
0.48	0	0	0	0	0	0	0	0	0	1	0	0	0.088468791	0.18217447
0.48	0	0	0	0	0	0	0	0	0	0	1	0	0.007445059	0.19243717
0.48	0	0	0	0	0	0	0	0	0	0	0	1	0.244934085	0.21158567
0.52	1	0	0	0	0	0	0	0	0	0	0	0	0.356924838	0.21399408
0.52	0	1	0	0	0	0	0	0	0	0	0	0	0.215089998	0.18873927
0.52	0	0	1	0	0	0	0	0	0	0	0	0	0.103444316	0.20446656
0.52	0	0	0	1	0	0	0	0	0	0	0	0	0.002759524	0.19110384
0.52	0	0	0	0	1	0	0	0	0	0	0	0	0.112722937	0.19581572
0.52	0	0	0	0	0	1	0	0	0	0	0	0	0.306540547	0.20097462
0.52	0	0	0	0	0	0	1	0	0	0	0	0	0.503467207	0.22691837
